City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Tingo Maria,PE,-9.2895,-76.0088,84.51,65,20,3.44,few clouds
260,Redlands,US,34.0556,-117.1825,87.55,64,100,3.44,haze
261,Tahoua,NE,14.8888,5.2692,99.18,17,14,3.27,few clouds
262,Port Lincoln,AU,-34.7333,135.8667,52.84,84,82,7.94,broken clouds
263,Puerto Ayacucho,VE,5.6639,-67.6236,83.7,75,87,1.83,overcast clouds
264,Ler,SS,8.3018,30.1418,77.25,68,99,2.06,overcast clouds
265,Kamenskiy,RU,50.8855,45.488,57.02,85,93,8.25,overcast clouds
266,Te Anau,NZ,-45.4167,167.7167,44.13,91,100,1.5,overcast clouds
267,Faya,SA,18.3851,42.4509,70.32,43,10,2.42,clear sky
268,Puerto Escondido,MX,15.85,-97.0667,77.83,73,100,17.27,light intensity drizzle
269,Guerrero Negro,MX,27.9769,-114.0611,68.67,59,15,17.27,few clouds
270,Ternate,ID,0.8,127.4,77.13,83,100,6.22,overcast clouds
271,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,84,100,11.7,overcast clouds
272,Portland,US,45.5234,-122.6762,63.34,76,100,4.61,overcast clouds
273,Asau,RO,46.4333,26.4,56.32,93,100,5.79,light rain
274,Veraval,IN,20.9,70.3667,82.27,77,97,15.3,overcast clouds
275,Huarmey,PE,-10.0681,-78.1522,70.3,68,3,11.3,clear sky
276,Chokurdakh,RU,70.6333,147.9167,29.82,88,100,3.11,overcast clouds
277,Khvorostyanka,RU,52.6096,48.9597,57.52,85,100,11.34,overcast clouds
278,Vanavara,RU,60.34,102.2797,42.31,57,100,1.68,overcast clouds
279,Sorong,ID,-0.8833,131.25,77.88,83,57,2.33,broken clouds
280,Taoudenni,ML,22.6783,-3.9836,99.01,17,100,15.32,overcast clouds
281,Jibuti,DJ,11.5,42.5,82.96,54,1,10.6,clear sky
282,Todos Santos,MX,23.45,-110.2167,75.4,59,23,6.33,few clouds
283,Arua,UG,3.0201,30.9111,64.4,95,100,7.09,moderate rain
284,Selikhino,RU,50.3672,137.4996,54.55,73,100,9.69,overcast clouds
285,Salym,RU,60.0625,71.4789,53.89,74,100,4.83,overcast clouds
286,Dingle,PH,10.9995,122.6711,76.64,88,98,1.43,overcast clouds
287,Roald,NO,62.5833,6.1333,47.75,81,75,8.05,broken clouds
288,Karratha,AU,-20.7377,116.8463,75.02,82,100,9.15,light rain
289,Santiago De Puringla,HN,14.3585,-87.9032,76.77,77,99,2.15,overcast clouds
290,Terrace Bay,CA,48.7834,-87.1,42.98,90,100,5.14,overcast clouds
291,Palu,ID,-0.8917,119.8707,77.34,92,100,1.23,overcast clouds
292,Turayf,SA,31.6725,38.6637,86.25,19,40,11.5,scattered clouds
293,Casa Grande,US,32.8795,-111.7573,98.94,6,0,10.36,clear sky
294,Gigmoto,PH,13.7796,124.39,80.47,82,24,6.62,few clouds
295,Brae,GB,60.3964,-1.353,45.45,73,96,23.31,overcast clouds
296,Carnot,CF,4.9409,15.8665,74.17,78,35,0.78,scattered clouds
297,Pochutla,MX,15.7432,-96.4661,78.82,76,100,8.81,overcast clouds
298,Xai-Xai,MZ,-25.0519,33.6442,69.17,77,8,7.76,clear sky
299,Arrecife,ES,28.963,-13.5477,73.38,56,40,10.36,scattered clouds
300,Nome,US,64.5011,-165.4064,33.87,93,100,8.05,overcast clouds
301,Cuencame,MX,24.8711,-103.6964,88.41,16,0,8.41,clear sky
302,Oltu,TR,40.5498,42.0013,62.4,63,91,0.87,overcast clouds
303,Slave Lake,CA,55.2834,-114.769,57.18,58,75,9.22,broken clouds
304,Tiksi,RU,71.6872,128.8694,29.55,95,100,1.74,overcast clouds
305,Chake Chake,TZ,-5.2459,39.7666,76.96,67,10,10.92,clear sky
306,Estelle,US,29.8458,-90.1067,87.01,47,40,8.05,scattered clouds
