City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Pisco,PE,2022-05-03 19:55:54,-13.7,-76.2167,71.65,64,0,8.05
192,Jiayuguan,CN,2022-05-03 19:55:55,39.8167,98.3,61.86,11,0,5.73
193,Lanzhou,CN,2022-05-03 19:55:55,36.0564,103.7922,58.75,30,3,4.81
194,Luhyny,UA,2022-05-03 19:55:55,51.082,28.4006,50.81,79,61,6.29
195,Marsh Harbour,BS,2022-05-03 19:55:56,26.5412,-77.0636,77.41,81,97,15.28
196,Lompoc,US,2022-05-03 19:55:07,34.6391,-120.4579,81.01,55,0,18.01
197,Caconda,AO,2022-05-03 19:55:57,-13.7333,15.0667,58.12,59,1,4.56
198,Ternate,ID,2022-05-03 19:55:57,0.8,127.4,81.05,80,81,1.95
199,Sinnamary,GF,2022-05-03 19:55:52,5.3833,-52.95,77.68,90,100,9.22
200,Plouzane,FR,2022-05-03 19:55:58,48.3833,-4.6167,53.65,85,0,8.05
201,Cabra,ES,2022-05-03 19:55:58,37.4725,-4.4421,55.71,86,100,6.91
202,Uglovskoye,RU,2022-05-03 19:55:58,51.3557,80.1942,42.85,35,49,9.24
203,San Isidro,PE,2022-05-03 19:55:59,-12.1167,-77.05,72.99,60,0,4.61
204,Saint-Augustin,CA,2022-05-03 19:55:59,51.226,-58.6502,42.87,80,99,2.84
205,Aklavik,CA,2022-05-03 19:56:00,68.2191,-135.0107,30.2,86,100,11.5
206,Petropavlivka,UA,2022-05-03 19:56:00,48.4564,36.4367,51.35,62,56,9.46
207,Port Said,EG,2022-05-03 19:56:01,31.2565,32.2841,71.58,73,0,11.5
208,Tutoia,BR,2022-05-03 19:56:01,-2.7619,-42.2744,81.41,84,99,7.38
209,Ban Nahin,LA,2022-05-03 19:56:02,18.2418,104.2122,68.7,68,100,2.68
210,Chapais,CA,2022-05-03 19:56:02,49.7834,-74.8492,47.98,81,100,7.72
211,Mamlyutka,KZ,2022-05-03 19:56:03,54.9375,68.5394,44.1,55,1,6.13
212,Okhotsk,RU,2022-05-03 19:56:03,59.3833,143.3,28.06,88,83,5.44
213,Mehamn,NO,2022-05-03 19:56:04,71.0357,27.8492,24.71,84,100,16.46
214,Tank,PK,2022-05-03 19:56:04,32.2217,70.3793,86.59,18,0,6.31
215,Lokosovo,RU,2022-05-03 19:56:05,61.1333,74.8167,28.6,77,8,8.05
216,Belaya Gora,RU,2022-05-03 19:56:05,68.5333,146.4167,31.14,94,100,4.92
217,Abu Samrah,SY,2022-05-03 19:56:06,35.3029,37.1841,75.22,31,18,7.76
218,Bubaque,GW,2022-05-03 19:56:06,11.2833,-15.8333,77.81,69,4,12.62
219,Buraydah,SA,2022-05-03 19:55:56,26.326,43.975,82.85,15,1,11.92
220,La Ronge,CA,2022-05-03 19:56:07,55.1001,-105.2842,32.25,86,100,16.11
221,Luderitz,NA,2022-05-03 19:56:07,-26.6481,15.1594,66.65,56,0,9.46
222,Panevezys,LT,2022-05-03 19:56:08,55.7333,24.35,34.07,64,8,5.91
223,Vila Velha,BR,2022-05-03 19:53:32,-20.3297,-40.2925,84.15,78,20,17.27
224,Abu Dhabi,AE,2022-05-03 19:51:27,24.4667,54.3667,82.51,49,0,9.22
225,Sinnar,SD,2022-05-03 19:57:09,13.5691,33.5672,96.85,21,38,4.36
226,Boueni,YT,2022-05-03 19:57:09,-12.9025,45.0761,80.58,78,10,6.22
227,Oranjemund,NA,2022-05-03 19:57:09,-28.55,16.4333,56.55,93,4,5.57
228,Sergeyevka,KZ,2022-05-03 19:57:10,53.88,67.4158,46.94,38,63,3.22
229,Katsuura,JP,2022-05-03 19:57:10,35.1333,140.3,60.3,66,0,12.84
230,Shelburne,CA,2022-05-03 19:57:11,44.0787,-80.2041,50.76,93,100,8.72
231,Hasaki,JP,2022-05-03 19:57:11,35.7333,140.8333,50.4,70,0,16.26
232,Roald,NO,2022-05-03 19:57:12,62.5833,6.1333,44.76,70,0,10.36
233,Ferme-Neuve,CA,2022-05-03 19:57:12,46.7001,-75.4493,56.86,72,100,6.51
234,Altay,CN,2022-05-03 19:57:13,47.8667,88.1167,51.82,80,2,2.57
235,Hovd,MN,2022-05-03 19:57:13,48.0056,91.6419,56.41,61,63,1.01
236,Kijang,KR,2022-05-03 19:57:14,35.2442,129.2139,49.73,68,0,9.57
237,Nosy Varika,MG,2022-05-03 19:57:14,-20.5833,48.5333,73.2,79,95,7.0
238,Rimouski,CA,2022-05-03 19:55:45,48.4488,-68.524,50.18,75,28,7.87
239,Belmopan,BZ,2022-05-03 19:57:15,17.25,-88.7667,88.32,59,100,7.38
240,Urumqi,CN,2022-05-03 19:57:16,43.801,87.6005,65.35,49,98,4.47
241,Mana,GF,2022-05-03 19:57:16,5.6592,-53.7767,78.24,82,100,7.72
242,Wembley,AU,2022-05-03 19:57:17,-31.9333,115.8,55.6,72,0,17.27
243,Lahaina,US,2022-05-03 19:57:17,20.8783,-156.6825,72.81,93,94,9.98
244,Isangel,VU,2022-05-03 19:57:17,-19.55,169.2667,78.58,85,13,4.16
245,Upernavik,GL,2022-05-03 19:57:18,72.7868,-56.1549,12.56,86,15,10.16
246,Sao Paulo De Olivenca,BR,2022-05-03 19:57:18,-3.3783,-68.8725,85.6,66,99,1.5
247,Halmstad,SE,2022-05-03 19:57:19,56.6745,12.8568,50.32,44,87,3.0
248,Sitka,US,2022-05-03 19:57:19,57.0531,-135.33,40.98,95,100,6.24
249,Leningradskiy,RU,2022-05-03 19:57:20,69.3833,178.4167,15.15,90,86,5.68
250,Galveston,US,2022-05-03 19:57:20,29.3669,-94.9669,88.02,76,8,4.0
251,Nuuk,GL,2022-05-03 19:57:21,64.1835,-51.7216,25.03,83,100,15.46
252,Blackwater,AU,2022-05-03 19:57:21,-23.5833,148.8833,68.79,81,96,6.38
253,Itupiranga,BR,2022-05-03 19:57:22,-5.1347,-49.3267,91.72,82,44,4.41
254,Kyabe,TD,2022-05-03 19:57:22,9.4515,18.9449,84.09,57,100,7.52
255,Havre-Saint-Pierre,CA,2022-05-03 19:57:22,50.2334,-63.5986,48.56,57,0,8.05
256,Norman Wells,CA,2022-05-03 19:57:23,65.282,-126.8329,55.44,47,75,16.11
257,Maraba,BR,2022-05-03 19:57:23,-5.3686,-49.1178,91.58,58,40,4.61
258,Seoul,KR,2022-05-03 19:55:33,37.5683,126.9778,49.44,61,0,4.61
259,Pirot,RS,2022-05-03 19:57:24,43.1531,22.5861,44.56,90,49,1.63
260,Xuddur,SO,2022-05-03 19:57:24,4.1213,43.8894,77.29,73,74,16.26
261,Suzhou,CN,2022-05-03 19:57:25,31.3114,120.6181,59.92,60,100,7.09
262,Naze,JP,2022-05-03 19:57:25,28.3667,129.4833,65.32,62,100,7.11
263,Isla Mujeres,MX,2022-05-03 19:57:26,21.2311,-86.731,86.16,70,3,11.88
264,Maun,BW,2022-05-03 19:57:26,-19.9833,23.4167,66.16,45,0,8.05
265,Magrath,CA,2022-05-03 19:57:27,49.4167,-112.8686,62.92,34,75,3.44
266,Tokur,RU,2022-05-03 19:57:28,53.1333,132.9,21.85,97,86,3.0
267,Qaanaaq,GL,2022-05-03 19:57:29,77.484,-69.3632,19.04,66,100,0.45
268,Batemans Bay,AU,2022-05-03 19:57:29,-35.7167,150.1833,55.09,82,3,6.26
269,Saint George,US,2022-05-03 19:55:21,37.1041,-113.5841,72.63,11,0,12.66
270,Mount Isa,AU,2022-05-03 19:57:30,-20.7333,139.5,69.57,46,0,11.5
271,Chivay,PE,2022-05-03 19:58:30,-15.6383,-71.6011,62.46,24,20,11.68
272,Hay River,CA,2022-05-03 19:57:50,60.8156,-115.7999,49.98,43,20,18.41
273,Duzce,TR,2022-05-03 19:58:31,40.8389,31.1639,53.64,99,98,3.31
274,Goulburn,AU,2022-05-03 19:58:32,-34.75,149.7167,47.35,86,4,4.43
275,Sechura,PE,2022-05-03 19:58:32,-5.5569,-80.8222,75.38,63,25,15.97
276,Kieta,PG,2022-05-03 19:58:32,-6.2167,155.6333,79.54,84,86,1.36
277,Vestmannaeyjar,IS,2022-05-03 19:58:33,63.4427,-20.2734,43.45,91,97,30.4
278,Kamloops,CA,2022-05-03 19:58:33,50.6665,-120.3192,67.19,40,40,8.99
279,Innisfail,AU,2022-05-03 19:58:34,-17.5333,146.0333,73.08,88,86,4.85
280,Yar-Sale,RU,2022-05-03 19:58:34,66.8333,70.8333,31.46,99,100,8.03
281,Jaciara,BR,2022-05-03 19:58:35,-15.9653,-54.9683,84.81,50,90,6.53
282,Gaoua,BF,2022-05-03 19:58:35,10.2992,-3.2508,85.96,48,100,5.06
283,Hamilton,US,2022-05-03 19:56:18,39.1834,-84.5333,74.93,84,75,14.97
284,Genhe,CN,2022-05-03 19:58:36,50.7833,121.5167,44.06,69,100,9.06
285,Rawson,AR,2022-05-03 19:56:04,-43.3002,-65.1023,69.22,35,100,21.63
286,Coahuayana,MX,2022-05-03 19:58:36,18.7333,-103.6833,90.79,39,93,8.08
287,Acapulco,MX,2022-05-03 19:54:22,16.8634,-99.8901,88.47,47,34,11.5
288,Arlit,NE,2022-05-03 19:58:37,18.7369,7.3853,92.1,9,91,7.54
289,Grenada,ES,2022-05-03 19:58:37,37.1882,-3.6067,57.9,70,40,5.75
290,Prince Rupert,CA,2022-05-03 19:53:58,54.3161,-130.3201,46.49,76,100,44.87
291,Renqiu,CN,2022-05-03 19:58:38,38.6989,116.0936,66.02,23,1,11.07
