City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Nago,JP,77.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
583,Havelock,US,84.2,few clouds,34.8791,-76.9013,Sherwood Motel
585,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
586,Puerto Madero,MX,89.8,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
587,Bontang,ID,77.0,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
591,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
595,Itoman,JP,77.4,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
598,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
617,Ugoofaaru,MV,82.0,moderate rain,5.6667,73.0,Ungoofaaru Inn
618,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
619,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
622,Punta Cardon,VE,85.06,broken clouds,11.6581,-70.215,Bambuda hotel
626,Mangrol,IN,82.17,broken clouds,21.1167,70.1167,Hotel The Royal Honours
633,Arinos,BR,84.29,scattered clouds,-15.9169,-46.1056,casa do bruno
638,Amahai,ID,77.31,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
641,West Plains,US,77.83,clear sky,36.7281,-91.8524,West Plains Motel
648,Altamira,BR,82.26,few clouds,-3.2033,-52.2064,Requinte Hotel
649,Luganville,VU,76.3,few clouds,-15.5333,167.1667,The Espiritu Hotel
651,Kunnamkulam,IN,77.29,scattered clouds,10.65,76.0833,OYO 881 Fort Gate
652,Valdepenas,ES,83.84,clear sky,38.7621,-3.3848,Hotel Veracruz Plaza & Spa
653,Cardonal,MX,77.2,broken clouds,20.6,-99.1333,Hospedaje Tolantongo
654,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
657,La Spezia,IT,76.96,overcast clouds,44.1105,9.8434,Hotel NH La Spezia
662,Windsor,CA,75.94,few clouds,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
663,Sabang,ID,82.87,overcast clouds,5.8933,95.3214,Hotel Citra
665,Eyl,SO,81.16,scattered clouds,7.9803,49.8164,Amiin Hotel
669,Cockburn Town,TC,80.53,few clouds,21.4612,-71.1419,Osprey Beach Hotel
672,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
673,Korba,IN,88.21,broken clouds,22.35,82.6833,Hotel Deendayal
675,Russell,US,81.55,scattered clouds,32.3502,-85.1999,Macs
683,Sula,PH,79.09,broken clouds,15.4573,120.3955,River Stone Hotel
685,Axim,GH,79.45,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
687,Gushikawa,JP,76.62,overcast clouds,26.3544,127.8686,Kirari Guest House
691,Mahibadhoo,MV,82.6,moderate rain,3.7833,72.9667,Omadhoo Inn
693,Nilopolis,BR,83.88,clear sky,-22.8075,-43.4139,Hotel Premier
694,Odweyne,SO,78.44,broken clouds,9.4092,45.064,Eng Hiirey House
